family_id	family_label	product_id	carac_id	carac_label	value
7502	Amenées d'air	2316	71	Description produit	OXYTONE Lames 2013 est un ouvrant télécommandé, à lames, pour une application d'amenée d'air en désenfumage. Il est disponible de la dimension 330 x 600 / 475 x 350 à 1350 x 1100 /1225 x 1350 par pas de 125 mm en standard. Il existe en version isolé et/ou à réarmement motorisé.
7502	Amenées d'air	2316	101	Plus produit	> version réarmable à distance possible,##NewLine##> ouverture sur l’extérieur,##NewLine##> à l’intérieur, GFAP 007 avec noyau démontable. 
7502	Amenées d'air	2315	83	Gamme	AIRONE
7502	Amenées d'air	2315	93	Nom du produit	Ouvrant AIRONE
7502	Amenées d'air	2315	71	Description produit	AIRONE est un ouvrant télécommandé, relevant vers l'extérieur, pour une application d'amenée d'air en désenfumage. Il est disponible de la dimension 475 x 475 à 1350 x 1350 par pas de 125 mm en standard.
7502	Amenées d'air	2315	101	Plus produit	> esthétique sobre et élégante,##NewLine##> isolation thermique en standard, ##NewLine##> option peinture disponible.
7503	Désenfumage habitat	9019	83	Gamme	désenfumage habitat collectif
7503	Désenfumage habitat	9019	93	Nom du produit	Coffret de désenfumage parking habitat
7503	Désenfumage habitat	9019	71	Description produit	Grâce à son horloge incorporée, le coffret de désenfumage parking habitat permet la programmation du ventilateur (Petite Vitesse / Grande Vitesse / arrêt) en prévision du trafic des véhicules dans le parking. Ce coffret est particulièrement adapté aux parkings de bâtiments d’habitat collectif. Il gère le déclenchement de désenfumage manuel et l’arrêt du désenfumage à la demande des pompiers.
7503	Désenfumage habitat	9019	101	Plus produit	>Horloge programmable pour répondre aux besoins en ventilation tout en économisant l'énergie
7503	Désenfumage habitat	2312	83	Gamme	OPTONE
7503	Désenfumage habitat	2312	93	Nom du produit	OPTONE®-H "+Grille
7503	Désenfumage habitat	2312	71	Description produit	Le volet OPTONE-H "+Grille" est utilisé pour le désenfumage des circulations de bâtiments d'habitation classés 3e B ou 4e famille. Il est idéal pour une installation sur un conduit standard 400x500 mm (20dm²). Le volet OPTONE-H "+Grille" est équipé d'un déclencheur à émission de courant 24 V. Cependant, il n'est pas équipé de contacts de signalisation et ne peut pas en recevoir.
7503	Désenfumage habitat	2312	101	Plus produit	> enjoliveur métallique, esthétique et anti-vandalisme, ##NewLine##> faible profondeur de débattement, ##NewLine##> entrée et sortie des câbles simplifiées. ##NewLine####NewLine##
7503	Désenfumage habitat	2009	83	Gamme	Tableau de désenfumage
7503	Désenfumage habitat	2009	93	Nom du produit	Tableau de désenfumage ORDONE
7503	Désenfumage habitat	2009	71	Description produit	De type "adressable", le tableau de désenfumage ORDONE permet de réaliser un gain important sur les câbles dans les habitats collectifs. Grâce à l'utilisation de boîtiers d'étage adaptés, le nombre de câbles est minimum (1 pour la ligne puissance 230 V - 1 pour la ligne télécommande des volets - 1 éventuel pour la ligne de contrôle de position des volets).
7503	Désenfumage habitat	2009	101	Plus produit	> tableau de type «adressable» : gain important sur les câbles,##NewLine##> nouveau: boîtier B.C.E pour la gestion de l’extraction,##NewLine##> nouveau: boîtier B.N.S pour la gestion de l’ascenseur.
7503	Désenfumage habitat	2182	83	Gamme	Accessoires désenfumage habitat collectif
7503	Désenfumage habitat	2182	93	Nom du produit	Déclencheur manuel
7503	Désenfumage habitat	2182	71	Description produit	Le déclencheur manuel est utilisé dans un système de désenfumage en habitat collectif, il doit être placé à chaque étage dans la cage d’escalier.
7503	Désenfumage habitat	2182	101	Plus produit	> conforme : NF-S 61936,##NewLine##> boîtier rouge faiclement repérable, ##NewLine##> installation simple et rapide.##NewLine##
7503	Désenfumage habitat	2188	83	Gamme	Accessoires désenfumage habitat collectif
7503	Désenfumage habitat	2188	93	Nom du produit	Détecteur de fumées
7503	Désenfumage habitat	2188	71	Description produit	Le détecteur de fumées optique est utilisé dans un système de désenfumage en habitat collectif. Il permet de détecter et d'avertir la présence de fumées.
7503	Désenfumage habitat	2188	101	Plus produit	> permet une détection d'incendie fiable et efficace,##NewLine##> adapté aux habitats collectifs,##NewLine##> installation simple et rapide.
85090	ISONE® 2.1	2259	83	Gamme	ISONE® 2.1
85090	ISONE® 2.1	2259	93	Nom du produit	ISONE® 2.1 circulaire
85090	ISONE® 2.1	2259	71	Description produit	> Clapets coupe-feu destinés aux batiments tertiaires (ERP, IGH)##NewLine##> Ils restituent le degré coupe-feu des cloisons traversées par une gaine de ventilation.##NewLine##> Equipé de fusible thermique de déclenchement 70°C par défaut##NewLine##> Commandable par bobine électromagnétique 24/48VCC à émission, 24VCC ou 48VCC à rupture##NewLine##> Moteur de réarmement 24-48 VCC/VDC##NewLine##> Degré coupe-feu jusqu'à 120 minutes sur toutes les cloisons usuelles
85090	ISONE® 2.1	2259	101	Plus produit	>  Un  seul modèle de clapet pour toutes les cloisons :  facile à choisir##NewLine##> Poignée ergonomique de réarmement rapide : 2 secondes suffisent##NewLine##> Axe inox en option pour environnements difficiles##NewLine##> Boitier de commande déporté en option, 0.7m ou 3m##NewLine##> Application ALDES SecurONE pour collecte et partage des données du clapet##NewLine##> Mécanisme unique, du clapet le plus simple au plus équipé : facile à choisir, installer et maintenir##NewLine##
85090	ISONE® 2.1	10849	83	Gamme	ISONE® 2.1
85090	ISONE® 2.1	10849	93	Nom du produit	ISONE® 2.1 rectangulaire
85090	ISONE® 2.1	10849	71	Description produit	> Clapets coupe-feu destinés aux batiments tertiaires (ERP, IGH)##NewLine##> Ils restituent le degré coupe-feu des cloisons traversées par une gaine de ventilation.##NewLine##> Equipé de fusible thermique de déclenchement 70°C par défaut##NewLine##> Commandable par bobine électromagnétique 24/48VCC à émission, 24VCC ou 48VCC à rupture##NewLine##> Moteur de réarmement 24-48 VCC/VDC##NewLine##> Degré coupe-feu jusqu'à 120 minutes sur toutes les cloisons usuelles##NewLine##> ISONE® 2.1 Rectangulaire PM:##NewLine##- (LxH) : de 200x100 a 800x600 mm,##NewLine##- mecanisme de commande ISONE® 2.1.##NewLine##• ISONE® 2.1 Rectangulaire GM :##NewLine##- (LxH) : L>800, H>600, jusqu’a 1500x500 / 1000².
85090	ISONE® 2.1	10849	101	Plus produit	> Un seul modèle de clapet pour toutes les cloisons : facile à choisir##NewLine##> Poignée ergonomique de réarmement rapide : 2 secondes suffisent##NewLine##> Axe inox en option pour environnements difficiles##NewLine##> Boitier de commande déporté en option, 0.7m ou 3m##NewLine##> Application ALDES SecurONE pour collecte et partage des données du clapet##NewLine##> Mécanisme unique, du clapet le plus simple au plus équipé : facile à choisir, installer et maintenir##NewLine##> Kit Easynstall pour installation facile en cloison légère
85090	ISONE® 2.1	10850	83	Gamme	ISONE 2
85090	ISONE® 2.1	10850	93	Nom du produit	ISONE®2 Europe circulaire
85090	ISONE® 2.1	10850	71	Description produit	> Clapets coupe-feu destinés aux batiments tertiaires (ERP, IGH)##NewLine##> Ils restituent le degré coupe-feu des cloisons traversées par une gaine de ventilation.##NewLine##> Equipé de fusible thermique de déclenchement 70°C par défaut##NewLine##> Commandable par bobine électromagnétique 24/48Vcc à émission, 24Vcc ou 48Vcc à rupture##NewLine##> Moteur de réarmement 24/48V##NewLine##> Degré coupe-feu jusqu'à 120 minutes sur toutes les cloisons usuelles
